index,soc_fil,MLP,PWL
13244,87.61765091324222,88.03587615837898,84.38754590946162
13245,87.6061161851177,88.02836967607584,84.38306190780838
13246,87.59508967635765,88.00662353796508,84.36861169199389
13247,87.59747403987669,87.98362476912882,84.35263417625846
13248,87.61508075369927,87.97518556912985,84.34761326911764
13249,87.63675107707118,87.98898021479692,84.35913680694418
13250,87.65094576200794,88.01104808201637,84.37824638209392
13251,87.65421993260303,88.0240883228704,84.38907817651614
13252,87.65006433968937,88.02832658936825,84.39183909846676
13253,87.6476454383671,88.0389642750248,84.4004678989431
13254,87.65910922449045,88.04871362795677,84.4082821551232
13255,87.6877078824917,88.04872208436575,84.4078941534131
13256,87.72049292776481,88.04838881989565,84.407327187613
13257,87.7426825458234,88.05152696719017,84.40907936491908
13258,87.75731745417662,88.06337911983576,84.41882175258499
13259,87.7795070722352,88.07562362005558,84.42892389843394
13260,87.81225865936355,88.0788477843031,84.43075494938645
13261,87.84067260099931,88.07909098242965,84.43048988297707
13262,87.85121312190182,88.08221437757459,84.4322285341838
13263,87.84536879176379,88.09495239680257,84.44278321047626
13264,87.8313922813373,88.10734596451368,84.4530220453239
13265,87.81336664094985,88.11356517275419,84.45759937009142
13266,87.79342117673366,88.12997973685708,84.47152521140677
13267,87.77691139595333,88.15780562882867,84.49591454586557
13268,87.77029270742925,88.1856443656012,84.52031566110487
13269,87.77583687251182,88.20313040887561,84.53522398613568
13270,87.78903902455227,88.20909393181648,84.53956685840731
13271,87.7998686619662,88.21296299224343,84.54198923719724
13272,87.79897885489015,88.21858043944087,84.54601478269394
13273,87.78469033051566,88.23353058075156,84.55859783723257
13274,87.76230543538338,88.24767331754413,84.57044055153648
13275,87.73766110647185,88.2498946671709,84.57135207866588
13276,87.71512495311889,88.23899437462535,84.56491448407054
13277,87.70013133803383,88.21696222176399,84.55011553578677
13278,87.69685716743872,88.19791791377213,84.53895958139351
13279,87.70184514864549,88.19748271790888,84.53833923260264
13280,87.70528113816948,88.19958709342029,84.5391435057799
13281,87.70162697413524,88.20238220480826,84.54058114429975
13282,87.69574918585243,88.205934745945,84.54271329564239
13283,87.69574918585243,88.21736913708594,84.55207262352779
13284,87.70162697413524,88.22679603634026,84.55959120054274
13285,87.70524768002468,88.20893005070832,84.54914392393779
13286,87.70159351599045,88.1803709396496,84.52638685534818
13287,87.69556446948697,88.15761545648422,84.5107059733572
13288,87.6948259206316,88.164461310707,84.51585789162182
13289,87.69816808717468,88.18557084327188,84.53408873584078
13290,87.69524204614639,88.20549212744083,84.55123003000152
13291,87.67943735607665,88.21186275383081,84.55594619681263
13292,87.6583348661044,88.1975220718756,84.54752820139674
13293,87.64841979675316,88.19071742122617,84.54344819590874
13294,87.65830140795961,88.19171907728162,84.54358034415775
13295,87.67925263971118,88.191464919351,84.54305480841562
13296,87.69438569721513,88.19370955576744,84.54398769508491
13297,87.69507863294506,88.19434591358151,84.54392853274449
13298,87.68659990090539,88.20273284962025,84.55049353259363
13299,87.67995665076334,88.21173287530985,84.55762069454794
13300,87.6826290243572,88.21148179819431,84.55709677020909
13301,87.69682370929394,88.20365346012261,84.55242749462704
13302,87.7190958296671,88.18171097313609,84.53773787076712
13303,87.73915674257327,88.15480137591805,84.51699200031695
13304,87.74738276229948,88.13714225379374,84.50666380139053
13305,87.74601912234655,88.14586460379508,84.51353635391598
13306,87.74360130068271,88.15738608104732,84.52297553060166
13307,87.73826693549722,88.159467926003,84.5237591456339
13308,87.71938494617851,88.15165152934935,84.51909674606813
13309,87.68748970798144,88.1307332531884,84.50565591457597
13310,87.65907576634567,88.11066928295043,84.49325671623836
13311,87.6476454383671,88.10603051049259,84.49042346106808
13312,87.65006433968937,88.1086176761761,84.4916704224179
13313,87.65421993260303,88.12095781204846,84.50186026138529
13314,87.65094576200794,88.13359591526535,84.51232332267628
13315,87.63675107707118,88.1389538550153,84.51611091319633
13316,87.61504729555449,88.14926541758325,84.52444067166516
13317,87.59725586536644,88.160590061672,84.5336993679091
13318,87.59401515291613,88.16443588001277,84.53610043716924
13319,87.60195220744656,88.16348463458564,84.53520982384336
13320,87.60526091584485,88.16246952278163,84.53428576783766
13321,87.5935080132101,88.17211809916046,84.54200760674333
13322,87.57420989837658,88.180883915849,84.54892001753723
13323,87.56479339474951,88.1724105474874,84.5438794427204
13324,87.57402518201111,88.15487979886677,84.53362514122855
13325,87.59261820613405,88.14238218379762,84.52626807648817
13326,87.60195328710498,88.14019576621797,84.52473059412297
13327,87.59261820613405,88.14264265982058,84.52584893609993
13328,87.5740586401559,88.15460363192108,84.53569110544086
13329,87.56501156925977,88.16346458507326,84.54269074795157
13330,87.57535133810767,88.14296776031699,84.5297637742466
13331,87.59814179804653,88.11783521039035,84.51118460447637
13332,87.62008505092506,88.11833692876246,84.51105493036465
13333,87.63982230951662,88.13572681856897,84.52587509338062
13334,87.67242248710863,88.15022260484841,84.5380415357005
13335,87.7313698666051,88.15462449727204,84.54095248913332
13336,87.80873285611342,88.15565933821347,84.54110201523169
13337,87.87744455850978,88.15372404617813,84.53969604977783
13338,87.91161816580751,88.15977219653871,84.54411651899335
13339,87.90257109491138,88.1648676672354,84.54766344814863
13340,87.86017769048341,88.14992248242345,84.53889748114732
13341,87.80488790891017,88.13606394616511,84.53075702423975
13342,87.75858507874108,88.13810393748429,84.53150225918115
13343,87.73689345851759,88.14253511814024,84.53444007615997
13344,87.74196126810803,88.15241049019244,84.54236987983633
13345,87.75939834613332,88.15707822678235,84.545524596615
13346,87.76770686817409,88.13699828436222,84.5331059226187
13347,87.75576924917385,88.11687904758003,84.52063934025999
13348,87.73054805547704,88.11228603286293,84.51783242678832
13349,87.70832389961525,88.11450291959193,84.51873986127424
13350,87.69994662166836,88.12857307282832,84.53051602316471
13351,87.70270149757675,88.15113965956118,84.55008290039369
13352,87.70546585453494,88.16527280745652,84.56191682693893
13353,87.70166043228004,88.16961168286946,84.56477000079633
13354,87.69578264399722,88.17969872591641,84.57289389152561
13355,87.69596736036269,88.19008678732064,84.58129379909758
