index,soc_fil,CC,EPWL
2021-09-16 12:24:00,87.2372935920044,85.9537411716648,87.1589823766528
2021-09-16 12:25:00,87.29352114516503,85.98066443454603,87.18809989041917
2021-09-16 12:26:00,87.2372935920044,85.99578738472962,87.20554930734409
2021-09-16 12:27:00,87.08825379108691,85.98214300152101,87.19416004892679
2021-09-16 12:28:00,86.89754344758495,85.93283499971787,87.14556304699545
2021-09-16 12:29:00,86.72372365187277,85.86330984897756,87.07587355580239
2021-09-16 12:30:00,86.60317251112794,85.77930491314336,86.99107734938681
2021-09-16 12:31:00,86.5384125745232,85.68878990581621,86.89948920541934
2021-09-16 12:32:00,86.5109802675354,85.60860696389895,86.81868047349394
2021-09-16 12:33:00,86.50000000000001,85.54930955359136,86.75966155241534
2021-09-16 12:34:00,86.48901973246463,85.50506110810053,86.71634317001231
2021-09-16 12:35:00,86.46158742547682,85.45238878329275,86.66423618024496
2021-09-16 12:36:00,86.39676057258252,85.36795773975493,86.57899541697365
2021-09-16 12:37:00,86.27577308281717,85.24841115601718,86.45254057528547
2021-09-16 12:38:00,86.09973732393237,85.11410596752062,86.31010973512527
2021-09-16 12:39:00,85.90026267606763,85.00134085499519,86.19099574817889
2021-09-16 12:40:00,85.72422691718285,84.93221302847886,86.12172078412581
2021-09-16 12:41:00,85.60323942741749,84.88219894045183,86.07238712461029
2021-09-16 12:42:00,85.53847949081276,84.81954745712544,86.00986890947435
2021-09-16 12:43:00,85.51148353284547,84.73502733123951,85.92453520686345
2021-09-16 12:44:00,85.50271922848268,84.64532070990408,85.8337904495131
2021-09-16 12:45:00,85.50050326531009,84.60170319843256,85.79113031863052
2021-09-16 12:46:00,85.50006691628958,84.65480073873096,85.84612884178063
2021-09-16 12:47:00,85.5,84.76878236286798,85.96471369466163
2021-09-16 12:48:00,85.5,84.83427607733984,86.03196949983683
2021-09-16 12:49:00,85.5,84.79301913325996,85.99177214164861
2021-09-16 12:50:00,85.50006691628958,84.65957165079479,85.8502697571569
2021-09-16 12:51:00,85.50050326531009,84.47559163648111,85.65406656152543
2021-09-16 12:52:00,85.50271922848268,84.29338139623384,85.4597791233956
2021-09-16 12:53:00,85.51148353284547,84.18106682519222,85.34115284176923
2021-09-16 12:54:00,85.53847949081276,84.20215024068541,85.36449594034772
2021-09-16 12:55:00,85.60317251112792,84.34764865308075,85.51515999570512
2021-09-16 12:56:00,85.72372365187276,84.54360737638703,85.71718482162922
2021-09-16 12:57:00,85.89754344758495,84.73451526208333,85.91406867820587
2021-09-16 12:58:00,86.08825379108691,84.90036280571223,86.08544499319169
2021-09-16 12:59:00,86.2372935920044,85.03226993158357,86.22227522675402
2021-09-16 13:00:00,86.29345422887546,85.11889962960878,86.31043019869362
2021-09-16 13:01:00,86.23679032669433,85.13034390957881,86.32424216283239
2021-09-16 13:02:00,86.08553456260424,85.05324711085936,86.24665319460672
2021-09-16 13:03:00,85.88605991473949,84.91494327585653,86.09989387140101
2021-09-16 13:04:00,85.68524416106,84.75245038617173,85.92695020984125
2021-09-16 13:05:00,85.5,84.57284248579838,85.73547977091486
2021-09-16 13:06:00,85.31475583894002,84.3647208638826,85.5131435977787
2021-09-16 13:07:00,85.11394008526051,84.123616541927,85.2551040790994
2021-09-16 13:08:00,84.91446543739576,83.87282384203833,84.98657701680844
2021-09-16 13:09:00,84.76320967330568,83.65521750516872,84.75397376259745
2021-09-16 13:10:00,84.70654577112455,83.53292872659173,84.62455053051752
2021-09-16 13:11:00,84.7627398661404,83.57714617843007,84.67076846159625
2021-09-16 13:12:00,84.91203129971292,83.77256451749895,84.87224326017542
2021-09-16 13:13:00,85.10406779931142,84.02573513914038,85.13250092555353
2021-09-16 13:14:00,85.28337772879132,84.26573385425533,85.37935163293197
2021-09-16 13:15:00,85.4218090007012,84.48105386298843,85.60108324465924
2021-09-16 13:16:00,85.53237996830237,84.65490687765357,85.78060788758336
2021-09-16 13:17:00,85.6522496394547,84.76007125442631,85.88708986763646
2021-09-16 13:18:00,85.80952556814256,84.82186889820441,85.95069101450791
2021-09-16 13:19:00,85.99949673468993,84.90667995609432,86.03704772315042
2021-09-16 13:20:00,86.18762137079563,85.03593228839458,86.17117578859201
2021-09-16 13:21:00,86.33576356238977,85.17349256876528,86.31376005668126
2021-09-16 13:22:00,86.42642131240221,85.29905663522113,86.44413403951015
2021-09-16 13:23:00,86.46353495532544,85.40202921333639,86.548448778775
2021-09-16 13:24:00,86.45435221223362,85.45905333711649,86.6073298902509
2021-09-16 13:25:00,86.39464606037608,85.45448928234521,86.60531288402098
2021-09-16 13:26:00,86.27276876353467,85.3841083000115,86.5347305063606
2021-09-16 13:27:00,86.08815341665256,85.24783493509841,86.39016914072481
2021-09-16 13:28:00,85.86127991994479,85.06557210587877,86.19582477571363
2021-09-16 13:29:00,85.61826826128268,84.86476999972756,85.98141188357735
2021-09-16 13:30:00,85.3675289773892,84.6406205995193,85.74172584805955
2021-09-16 13:31:00,85.0996704076428,84.38269327527281,85.46547564732147
2021-09-16 13:32:00,84.80800351618552,84.10595920082143,85.1688673831047
2021-09-16 13:33:00,84.50000000000001,83.8291571226773,84.87218550577143
2021-09-16 13:34:00,84.19199648381449,83.54746612096352,84.57021143200396
2021-09-16 13:35:00,83.90032959235721,83.26560521915891,84.26805344358901
2021-09-16 13:36:00,83.63247102261082,82.99681656766025,83.98004599679545
2021-09-16 13:37:00,83.38173173871733,82.73102254241175,83.69528019412604
2021-09-16 13:38:00,83.13872008005521,82.45905924685287,83.40383623626089
2021-09-16 13:39:00,82.91174620891309,82.1949717496536,83.1209177280988
2021-09-16 13:40:00,82.72644288035544,81.96333632555186,82.87312816868847
2021-09-16 13:41:00,82.6010234642449,81.7728375378101,82.6698684852637
2021-09-16 13:42:00,82.52706287425688,81.62774622451879,82.51576180473405
2021-09-16 13:43:00,82.47300404203271,81.52993393379272,82.41283405369022
2021-09-16 13:44:00,82.3994798010652,81.46459785028121,82.34751500344383
2021-09-16 13:45:00,82.27627634812725,81.4085240016353,82.29185921432538
2021-09-16 13:46:00,82.09980424022194,81.34670273710789,82.23020716390718
2021-09-16 13:47:00,81.90026267606763,81.28400135517396,82.1676368897076
2021-09-16 13:48:00,81.72422691718285,81.22625808814688,82.11023940153021
2021-09-16 13:49:00,81.60323942741749,81.15546698785575,82.03922914906711
2021-09-16 13:50:00,81.53847949081276,81.05589896825941,81.9344008442645
2021-09-16 13:51:00,81.51148353284546,80.93475867444006,81.80622083205752
2021-09-16 13:52:00,81.50271922848268,80.8131089850107,81.67748940570128
2021-09-16 13:53:00,81.50050326531009,80.71487274338654,81.57410273330201
2021-09-16 13:54:00,81.50006691628957,80.65495990864194,81.51444174180244
2021-09-16 13:55:00,81.5,80.63185392367495,81.4931812233916
2021-09-16 13:56:00,81.5,80.62851853261867,81.49237911439191
2021-09-16 13:57:00,81.5,80.62115968690632,81.48754753789882
2021-09-16 13:58:00,81.5,80.59399191754893,81.46204937233485
2021-09-16 13:59:00,81.5,80.55039731634746,81.4194131436665
2021-09-16 14:00:00,81.5,80.50694265315626,81.37692291189359
2021-09-16 14:01:00,81.5,80.47738840771362,81.34893494317497
2021-09-16 14:02:00,81.5,80.46228088178027,81.33601919245623
2021-09-16 14:03:00,81.5,80.4536249883463,81.32983441006724
