index,power_demand,power_load,power_pv,_power_load
2021-12-23 00:07:00,63.94356555938721,21.518180977106226,0.0,63.94356555938721
2021-12-23 00:08:00,63.86628799438476,21.394100107650647,0.0,63.86628799438476
2021-12-23 00:09:00,63.78901042938232,21.27001923819507,0.0,63.78901042938232
2021-12-23 00:10:00,63.71173286437988,21.14593836873949,0.0,63.71173286437988
2021-12-23 00:11:00,63.63445529937744,21.02185749928391,0.0,63.63445529937744
2021-12-23 00:12:00,63.557177734375,20.897776629828336,0.0,63.557177734375
2021-12-23 00:13:00,63.479900169372556,20.773695760372757,0.0,63.479900169372556
2021-12-23 00:14:00,63.402622604370116,20.649614890917178,0.0,63.402622604370116
2021-12-23 00:15:00,63.325345039367676,20.5255340214616,0.0,63.325345039367676
2021-12-23 00:16:00,63.248067474365236,20.40145315200602,0.0,63.248067474365236
